NATIONALITY,COUNTRY_DESCRIPTION,AGE_GROUP,IF_TRAVEL_ALONE,TRAVELLING_WITH,AGE_GROUP1_SIZE (<18),AGE_GROUP2_SIZE (18-24),AGE_GROUP3_SIZE (25-44),AGE_GROUP4_SIZE (45-64),AGE_GROUP5_SIZE (65+),NO_FEMALE,NO_MALE,PURPOSE_CODE,PURPOSE_OTHER,ACTIVITY_MAIN,ACTIVITY_OTHERS,INFO_SOURCE,INFO_SOURCE_OTHERS,INFO_RADIO_TV_WEB,TOUR_ARRANGEMENT,PAC_TRANSPORT_INT,PAC_ACCOMODATION,PAC_FOOD,PAC_TRANSPORT_TZ,PAC_SIGHTSEEING,PAC_GUIDED_TOUR,PAC_INSURANCE,PAC_OTHER_ITEM,PACKAGE_COST,IF_GROUP_PACKAGE,NIGHTS_SPENT,NIGHTS_MAINLAND,NIGHTS_ZANZIBAR,CURRENCY1,CURRENCY2,SPENT_AMOUNT_TZ,ACCOMODATION,ACC_HOTEL,ACC_OTHERS,FOOD_DRINK,TRANS_AIR,TRANS_ROAD,TRANS_WATER,TRANS_RAILWAY,TRANS_RENTAL,COST_TRANSPORT_TZ,EXP_CULT_SERVICE,EXP_SPORT,EXP_SIGHTSEEING,MOUNTAIN_CLIMBING,HUNTING,GATE_FEES,VISA_TAXES,EXP_SHOPPING,EXP_OTHER,EXP_OTHER_DETAIL,IF_GROUP_BREAKDOWN,PAYMENT_MODE,PAYMENT_MODE_OTHERS,TZ_COST_COMPARISON,IF_FIRST_TRIP_TZ,MOST_IMPRESSING_TZ1,MOST_IMPRESSING_TZ2,MOST_IMPRESSING_TZ3,MOST_IMPRESSING_TZ4,IMPROVEMENT_AREAS1,IMPROVEMENT_AREAS2,IMPROVEMENT_AREAS3,IMPROVEMENT_AREAS4,OTHER1,OTHER2,OTHER3,VERIFICATION_FLAG,TRAVEL_ELSE_AFRICA
SWISS,SWIZERLAND,45-64,NO,With Other Friends/Relatives,0,0,0,1,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Friends, relatives",,,Package Tour,No,Yes,Yes,Yes,No,No,No,,Others (please specify)000,Yes,5,5,0,USD,USD,"1,500",,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,"1,000",500,,Yes,Cash,,,No,Friendly People,"Wonderful Country, Landscape, Nature",, Wildlife, Improve on Roads,,,,,,,0,
NEW ZEALANDER,NEW ZEALAND,65+,NO,With Spouse,0,0,1,0,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"40,000",Yes,2Others (please specify),7,0,USD,USD,500,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,500,,Yes,Cash,,,Yes, Wildlife,Friendly People,,1," Improve Facilities (Toilets, Water,...)",,,,,,,0,
AMERICAN,UNITED STATES OF AMERICA,25-44,NO,With Other Friends/Relatives,0,2,0,0,0,3,0,Leisure and Holidays,,Wildlife tourism,,"Radio, TV, Web (please specify)",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,11,0,,USD,"4,000",,"1,500",0,"1,200",0,0,0,0,0,,0,0,0,0,0,350,150,500,300,,Yes,Cash,,,Yes,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
AMERICAN,UNITED STATES OF AMERICA,25-44,YES,,0,0,0,0,0,1,0,Visiting Friends and Relatives,,Hunting tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,4,0,,USD,200,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,100,50,0,,No,Cash,,,No,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
GERMAN,GERMANY,45-64,NO,With Other Friends/Relatives,0,0,0,0,0,0,4,Business,,Wildlife tourism0,,"Newspaper, magazines,brochures",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,,,0,21,0,TZS,TZS,"1,000,000",,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,No,Cash,,,Yes,Friendly People,,,Friendly People, Improve on RoadsWider AcceptabSlow/poor customer services,,,,,,,0,
GERMAN,GERMANY,45-64,YES,,0,0,0,0,0,1,0,Business,,Wildlife tourism0,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,"1,100",Yes,0,3,0,EUR,EUR,600,,350,0,250,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,Yes,Cash,,,No,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,,,,,0,
DOMINICAN,DOMINICA,25-44,NO,With Children,1,0,1,0,0,2,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,,"6,000",No,12,5,0,USD,USD,"2,000",,Others (please specify)00,0,400,400,200,0,0,0,,0,0,0,0,0,0,0,200,0,,No,Cash,,,Yes,Friendly People,,,Friendly People, Improve on Roads,,,,,,,0,
IRISH,SEYCHELLES,25-44,NO,With Spouse,0,0,1,0,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,Others (please specify),0,,USD,"20,000",,"12,000",0,"3,000","5,000",0,0,0,0,,0,0,0,0,0,0,0,0,0,,Yes,Cash,,,Yes,Friendly People, Wildlife,,Satisfies and Hope Come Back," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,,,,,0,
KENYAN,GERMANY,25-44,NO,With Spouse,0,0,0,1,0,1,1,Visiting Friends and Relatives,,business,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,Others (please specify),0,,USD,Others (please specify)30,,2Others (please specify)0,0,0,450,0,0,0,0,,0,50,0,0,0,0,50,0,0,,No,Cash,,,No,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)",,,,,,,0,
AMERICAN,UNITED STATES OF AMERICA,25-44,NO,With Other Friends/Relatives,0,0,1,0,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,14,7,,USD,"7,300",,"3,000",0,300,200,200,0,0,200,,0,"1,500","1,500",0,0,0,200,200,0,,No,Cash,,,Yes,Friendly People,,,Friendly People,Others (please specify),,,,,,,0,
AMERICAN,UNITED STATES OF AMERICA,1Others (please specify)-24,YES,,0,0,0,0,0,0,1,Visiting Friends and Relatives,,Hunting tourism,VISITS,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,30,0,,USD,600,,0,0,200,0,200,0,0,0,,0,0,0,0,0,0,100,100,0,,No,Cash,,,Yes,Good serviceGood service,,,Good serviceGood service," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,,,,,0,
RUSSIAN,RUSSIA,1Others (please specify)-24,NO,With Spouse,0,1,0,0,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,30,0,,USD,"2,500",,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,Cash,,,Yes,Others (please specify),,,Others (please specify), Improve on Roads, Improve on RoadsWider Acceptability of Credit Cards at Tourism Establishments,,,,,,0,
BURUNDESE,MALAYSIA,25-44,YES,,0,0,0,0,0,0,1,Scientific and Academic,,Hunting tourism,RESEARCH,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,15,0,,USD,"1,700",,0,550,200,0,200,0,0,0,,0,0,0,0,0,0,0,0,700,,No,Cash,,,No,Friendly People,,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)",,,,,,,0,
SOUTH AFRICAN,SOUTH AFRICA,25-44,NO,With Other Friends/Relatives,0,0,1,0,0,1,1,Business,,Wildlife tourism0,,"Radio, TV, Web (please specify)",,INTERNET,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,3,0,,USD,"1,000",,700,0,300,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,No,Credit Card,,,Yes,Excellent Experience,Friendly People,,Excellent Experience, Improve on Roads,,,,,,,0,
CANADIAN,CANADA,25-44,NO,With Spouse,0,0,1,0,0,1,1,Leisure and Holidays,,Conference tourism,,"Friends, relatives",,,Package Tour,No,Yes,Yes,Yes,No,Yes,No,,"5,000",Yes,1Others (please specify),14,4,CAD,USD,"5,100",,0,0,0,0,0,0,0,0,,0,0,0,"4,600",0,0,100,400,0,,Yes,Cash,,,Yes,Friendly People, Wildlife,Good service0,No comments,Wider Acceptability of Credit Cards at Tourism Establishments," Improve Facilities (Toilets, Water,...) Improve on Security/Safety"," Improve on Roads Improve Facilities (Toilets, Water,...)",,,,,0,
CHINESE,CHINA,25-44,NO,With Other Friends/Relatives,0,0,1,0,0,0,2,Meetings and Conference,,Beach tourism,,"Travel, agent, tour operator",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,5,0,,USD,"1,200",,"1,200",0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,Yes,Cash,,,Yes,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)",,,,,,,0,
SOUTH AFRICAN,SOUTH AFRICA,25-44,YES,,0,0,0,0,0,0,1,Business,,Wildlife tourism0,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,5,0,,USD,200,,200,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,No,Cash,,,No,No comments,,,No comments, Improve on Roads,,,,,,,0,
SPANISH,SPAIN,25-44,NO,With Other Friends/Relatives,0,0,2,0,0,0,3,Leisure and Holidays,,Conference tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,1Others (please specify),4,,EUR,"6,000",,"1,500",0,"1,500",300,300,0,0,0,,0,0,0,"2,100",0,0,0,0,0,,Yes,Cash,,,Yes,Good service0,,,Good service1,Wider AcceptabSlow/poor customer services, Improve on Roads,,,,,,0,
ETHIOPIAN,ETHIOPIA,45-64,YES,Alone,0,0,0,0,0,0,1,Business,,Wildlife tourism0,,Others (please specify),,INVITED BY TANESCO,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,2,0,,USD,"1,500",,500,0,0,"1,000",0,0,0,0,,0,0,0,0,0,0,0,0,0,,Yes,Cash,,,Yes,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
SOUTH AFRICAN,SOUTH AFRICA,45-64,NO,With Other Friends/Relatives,0,0,3,0,0,3,1,Meetings and Conference,,Beach tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,No,No,No,,Others (please specify)250,Yes,4,4,0,USD,USD,510,,250,0,0,260,0,0,0,0,,0,0,0,0,0,0,0,0,0,,Yes,Cash,,,No,Friendly People,,,Friendly People, Improve on Roads,,,,,,,0,
BRITISH,UNITED KINGDOM,45-64,YES,,0,0,0,0,0,1,0,Visiting Friends and Relatives,,Beach tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,0,0,,GBP,"1,200",,"1,200",0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,Yes,Cash,,,No,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)",,,,,,,0,
DUTCH,NETHERLANDS,45-64,YES,,0,0,0,0,0,0,1,Leisure and Holidays,,Wildlife tourism,,"Radio, TV, Web (please specify)",,INTERNET,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,Others (please specify),2,,EUR,440,,0,250,100,0,50,0,0,0,,0,0,0,0,0,0,40,0,0,,Yes,Cash,,,Yes, Wildlife,,, Wildlife, Improve on Roads," Improve Facilities (Toilets, Water,...)",Too many tips demanded/ Corruption,,,,,0,
BRITISH,AUSTRALIA,25-44,NO,With Children,1,1,0,0,0,2,1,Leisure and Holidays,,Beach tourism,,"Travel, agent, tour operator",,,Package Tour,No,Yes,Yes,Yes,No,Yes,No,,"5,000",Yes,4,3,1,USD,USD,600,,0,0,0,0,500,0,0,0,,0,0,0,0,0,0,100,0,0,,Yes,Cash,,,No,No comments,,,No comments, Improve on Roads,,,,,,,0,
SWAZILANDER,SWAZILAND,25-44,NO,With Spouse,0,1,0,0,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,No,No,No,No,,Others (please specify)000,No,13,7,6,CHF,USD,500,,0,0,150,0,0,0,0,0,,0,0,250,0,0,0,0,100,0,,Yes,Cash,,,Yes,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
BRITISH,AUSTRALIA,25-44,YES,,0,0,0,0,0,0,1,Leisure and Holidays,,Beach tourism,,inflight magazines,,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,4,0,,USD,"2,730",,200,400,150,"1,200",0,0,0,0,,150,100,120,140,120,0,0,150,0,,No,Cash,,,Yes,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature", Improve on Roads,,,,,,,0,
INDIAN,UNITED ARAB EMIRATES,<1Others (please specify),YES,,0,0,0,0,0,0,1,Volunteering,,Hunting tourism,WORK SHADOWING,"Radio, TV, Web (please specify)",,GAP MEDICS,Package Tour,No,Yes,Yes,Yes,Yes,No,Yes,,"1,000",Yes,14,14,0,GBP,USD,210,,0,0,50,0,40,0,0,0,,0,0,0,0,0,0,0,120,0,,Yes,Cash,,,Yes,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)0",,,,,,,0,
MEXICAN,MEXICO,25-44,YES,,0,0,0,0,0,1,0,Business,,Wildlife tourism0,,"Radio, TV, Web (please specify)",,INTERNET,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,10,0,,USD,740,,350,100,0,0,40,0,0,0,,0,0,0,0,0,0,50,200,0,,No,Credit Card,,,No, Wildlife,,, Wildlife, Improve on Roads,,,,,,,0,
DUTCH,NETHERLANDS,1Others (please specify)-24,NO,With Other Friends/Relatives,0,1,0,0,0,1,1,Volunteering,,Wildlife tourism,,"Travel, agent, tour operator",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,30,3,,USD,"2,260",,160,0,400,0,100,0,0,0,,0,0,0,0,0,0,0,200,"1,400",,Yes,Cash,,,Yes,Others (please specify),,,Others (please specify)," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,,,,,0,
BELGIAN,BELGIUM,25-44,YES,,0,0,0,0,0,1,0,Leisure and Holidays,,Cultural tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,29,0,,EUR,"1,000",,700,0,200,0,40,0,0,0,,0,0,0,0,0,0,50,10,0,,Yes,Cash,,,No,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature", Improve on Roads,,,,,,,0,
AMERICAN,UNITED STATES OF AMERICA,1Others (please specify)-24,NO,With Other Friends/Relatives,0,0,0,4,3,6,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"64,000",No,0,11,0,USD,USD,500,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,500,0,,Yes,Cash,,,No, Wildlife,,, Wildlife, Improve on Roads,,,,,,,0,
MALAYSIAN,MALAYSIA,25-44,YES,Alone,0,0,0,0,0,0,1,Visiting Friends and Relatives,,Wildlife tourism,,"Newspaper, magazines,brochures",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,7,0,,USD,500,,210,0,150,0,50,0,0,0,,0,0,0,0,0,0,0,0,90,,Yes,Cash,,,No,No comments,,,No comments," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)"," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,,,,0,
KENYAN,KENYA,25-44,YES,Alone,0,0,0,0,0,1,0,Business,,Wildlife tourism0,,Others (please specify),ASSOCIATE,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,2,0,,TZS,"230,000",,1Others (please specify)0000,0,"20,000",0,0,0,0,"30,000",,0,0,0,0,0,0,0,0,0,,Yes,Cash,,,No,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
AMERICAN,UNITED STATES OF AMERICA,45-64,NO,With Other Friends/Relatives,0,0,0,0,2,3,0,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"27,000",Yes,0,12,0,USD,USD,500,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,500,0,,Yes,Cash,,,Yes, Wildlife,,, Wildlife, Improve on Roads,,,,,,,0,
ITALIAN,BELGIUM,25-44,NO,With Other Friends/Relatives,0,0,1,0,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Radio, TV, Web (please specify)",,WEB,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,10,5,,USD,"2,000",,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,No,Cash,,,Yes,Friendly People, Wildlife, Wildlife,Satisfies and Hope Come Back. Wildlife Wildlife Wildlife Wildlife Wildlife Wildlife Wildlife Wildlife Wildlife Wildlife Wildlife Wildlife WildlifeSatisfies and Hope Come Back," Improve Facilities (Toilets, Water,...)",,,,,,,0,
DUTCH,KENYA,25-44,NO,With Other Friends/Relatives,0,0,2,0,0,1,2,Business,,Mountain climbing,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,1,0,,USD,200,,100,0,30,0,0,0,0,20,,0,0,0,0,0,0,50,0,0,,No,Cash,,,No,No comments,,,No comments," Improve Facilities (Toilets, Water,...)0",,,,,,,0,
ITALIAN,ITALY,25-44,NO,With Spouse and Children,0,1,0,2,0,3,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,7,5,,EUR,"30,000",,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,No,Cash,,,Yes,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
