NATIONALITY,COUNTRY_DESCRIPTION,AGE_GROUP,IF_TRAVEL_ALONE,TRAVELLING_WITH,AGE_GROUP1_SIZE (<18),AGE_GROUP2_SIZE (18-24),AGE_GROUP3_SIZE (25-44),AGE_GROUP4_SIZE (45-64),AGE_GROUP5_SIZE (65+),NO_FEMALE,NO_MALE,PURPOSE_CODE,PURPOSE_OTHER,ACTIVITY_MAIN,ACTIVITY_OTHERS,INFO_SOURCE,INFO_SOURCE_OTHERS,INFO_RADIO_TV_WEB,TOUR_ARRANGEMENT,PAC_TRANSPORT_INT,PAC_ACCOMODATION,PAC_FOOD,PAC_TRANSPORT_TZ,PAC_SIGHTSEEING,PAC_GUIDED_TOUR,PAC_INSURANCE,PAC_OTHER_ITEM,PACKAGE_COST,IF_GROUP_PACKAGE,NIGHTS_SPENT,NIGHTS_MAINLAND,NIGHTS_ZANZIBAR,CURRENCY1,CURRENCY2,SPENT_AMOUNT_TZ,ACCOMODATION,ACC_HOTEL,ACC_OTHERS,FOOD_DRINK,TRANS_AIR,TRANS_ROAD,TRANS_WATER,TRANS_RAILWAY,TRANS_RENTAL,COST_TRANSPORT_TZ,EXP_CULT_SERVICE,EXP_SPORT,EXP_SIGHTSEEING,MOUNTAIN_CLIMBING,HUNTING,GATE_FEES,VISA_TAXES,EXP_SHOPPING,EXP_OTHER,EXP_OTHER_DETAIL,IF_GROUP_BREAKDOWN,PAYMENT_MODE,PAYMENT_MODE_OTHERS,TZ_COST_COMPARISON,IF_FIRST_TRIP_TZ,MOST_IMPRESSING_TZ1,MOST_IMPRESSING_TZ2,MOST_IMPRESSING_TZ3,MOST_IMPRESSING_TZ4,IMPROVEMENT_AREAS1,IMPROVEMENT_AREAS2,IMPROVEMENT_AREAS3,IMPROVEMENT_AREAS4,OTHER1,OTHER2,OTHER3,VERIFICATION_FLAG,TRAVEL_ELSE_AFRICA
FRENCH,FRANCE,1Others (please specify)-24,NO,With Spouse,0,1,0,0,0,1,1,Leisure and Holidays,,Cultural tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,No,No,No,No,,"2,000",Yes,7,7,0,EUR,USD,200,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,200,0,,No,Cash,,,Yes,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
BRITISH,UNITED STATES OF AMERICA,45-64,NO,With Spouse and Children,0,1,1,1,0,2,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,,"25,000",Yes,0,Others (please specify),0,GBP,USD,"1,500",,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,400,"1,100",0,,Yes,Cash,,,Yes,Friendly People,,,Friendly People,Flycatchers/ vendors are annoying,,,,,,,0,
AMERICAN,UNITED STATES OF AMERICA,45-64,NO,With Spouse,0,0,0,1,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,,"25,000",Yes,0,10,0,USD,USD,500,,0,0,10,0,0,0,0,0,,0,0,0,0,0,0,0,15,475,,Yes,Cash,,,Yes,Friendly People, Wildlife,,Satisfies and Hope Come Back," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
ITALIAN,ITALY,25-44,NO,With Other Friends/Relatives,0,0,1,0,0,1,1,Leisure and Holidays,,Beach tourism,,"Radio, TV, Web (please specify)",,INTERNET,Package Tour,No,Yes,No,Yes,No,No,No,,"4,000",Yes,14,0,Others (please specify),EUR,EUR,"1,000",,Others (please specify)00,0,300,30,0,60,0,0,,50,0,"1,300",0,0,0,30,20,0,,Yes,Cash,,,Yes,No comments,,,No comments," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)",,,,,,,0,
AMERICAN,UNITED STATES OF AMERICA,45-64,NO,With Spouse,0,0,0,1,0,1,1,Leisure and Holidays,,Wildlife tourism,,"Friends, relatives",,,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,,"6,000",Yes,0,10,2,USD,USD,500,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,500,0,,No,Cash,,,Yes,Good service, Wildlife,,Good service, Improve on Roads,,,,,,,0,
ITALIAN,ITALY,25-44,NO,With Spouse,0,0,0,1,0,1,1,Meetings and Conference,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"5,000",No,15,Others (please specify),7,USD,USD,100,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,100,0,,No,Cash,,,Yes,"Wonderful Country, Landscape, Nature","Wonderful Country, Landscape, Nature",,"Wonderful Country, Landscape, Nature", Improve on Security/Safety,,,,,,,0,
FRENCH,FRANCE,45-64,YES,With Other Friends/Relatives,0,0,0,1,0,1,1,Leisure and Holidays,,Conference tourism,,"Friends, relatives",,,Package Tour,No,Yes,Yes,Yes,No,No,No,,"2,300",No,7,7,0,USD,USD,100,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,50,50,Tips,,Cash,,,Yes,Good service,,,Good service," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
GERMAN,GERMANY,25-44,YES,,0,0,0,0,0,1,0,Leisure and Holidays,,Cultural tourism,,"Travel, agent, tour operator",,,Package Tour,No,Yes,Yes,Yes,No,Yes,No,,"1,000",No,21,9,3,USD,USD,350,,0,0,300,0,0,0,0,0,,0,0,0,0,0,0,50,0,0,,No,Cash,,,Yes,Excellent Experience, Wildlife,,Excellent Experience," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
DUTCH,NETHERLANDS,1Others (please specify)-24,NO,With Spouse,0,0,1,0,0,1,1,Leisure and Holidays,,business,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,Yes,No,No,,Others (please specify)000,Yes,Others (please specify),0,Others (please specify),EUR,USD,300,,0,0,0,0,0,0,0,0,,0,300,0,0,0,0,0,0,0,,Yes,Cash,,,Yes, Wildlife,Friendly People,,0," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
SOUTH AFRICAN,SOUTH AFRICA,25-44,YES,,0,0,0,0,0,0,1,Business,,Wildlife tourism0,,"Travel, agent, tour operator",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,2,0,,USD,95Others (please specify),,95Others (please specify),0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,No,Credit Card,0,,No,No comments,,,No comments," Improve Facilities (Toilets, Water,...) Improve on Roads",,,,,,,0,
