nationality,country_description,age_group,if_travel_alone,travelling_with,no_female,no_male,total_travellers,purpose_code,purpose_other,activity_main,activity_others,info_source,info_source_others,info_radio_tv_web,tour_package,pac_transport_int,pac_accomodation,pac_food,pac_transport_tz,pac_sightseeing,pac_guided_tour,pac_insurance,currency1,package_cost,if_group_package,nights_mainland,nights_zanzibar,currency2,spent_amount_tz,acc_hotel,acc_others,food_drink,trans_air,trans_road,trans_water,trans_railway,trans_rental,cost_transport_tz,exp_cult_service,exp_sport,exp_sightseeing,mountain_climbing,hunting,gate_fees,visa_taxes,exp_shopping,exp_other,exp_other_detail,if_group_breakdown,payment_mode,payment_mode_others,if_first_trip_tz,most_impressing_tz1,most_impressing_tz2,most_impressing_tz3,most_impressing_tz4,improvement_areas1,improvement_areas2,improvement_areas3,improvement_areas4
ZIMBABWEAN,ZIMBABWE,25-44,1,,0,1,1,Business,,Beach tourism,,"Travel, agent, tour operator",,,0,0,0,0,0,0,0,0,,0,,4,0,USD,600,20,0,20,0,200,0,0,0,,0,0,0,0,0,0,0,110,250,FUEL,1,Cash,,1, Wildlife,,, Wildlife, Improve on Roads,,,
UGANDAN,UGANDA,25-44,1,,0,1,1,Visiting Friends and Relatives,,Hunting tourism,VISITING RELATIVES,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,30,0,TZS,150000,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,150000,0,,1,Cash,,0,Friendly People,"Wonderful Country, Landscape, Nature",, Wildlife," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
ZIMBABWEAN,ZIMBABWE,25-44,1,Alone,0,1,1,Other,COLLECT CAR,Hunting tourism,COLLECT CAR,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,2,0,TZS,772800,50000,0,50000,0,10000,0,0,0,,0,0,0,0,0,0,0,0,662800,FUEL,1,Cash,,0, Wildlife,,, Wildlife,Too many tips demanded/ Corruption,,,
ZIMBABWEAN,ZIMBABWE,25-44,1,Alone,0,1,1,Business,,Mountain climbing,,"Travel, agent, tour operator",,,0,0,0,0,0,0,0,0,,0,,2,0,USD,1400,100,0,100,0,100,0,0,0,,0,0,0,0,0,0,0,1100,0,,1,Cash,,0,Good serviceGood service, Wildlife,,Good serviceGood service," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
ZIMBABWEAN,ZIMBABWE,25-44,1,,0,1,1,Business,,Wildlife tourism,,Trade fair,,,0,0,0,0,0,0,0,0,,0,,1,0,TZS,50000,35000,0,15000,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1,Friendly People,,,Friendly People, Improve on Roads,,,
ZAMBIAN,ZAMBIA,25-44,1,Alone,0,1,1,Business,,Mountain climbing,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,8,0,USD,300,30,10,0,0,30,0,0,0,,0,0,0,0,0,0,0,230,0,,1,Cash,,0, Wildlife,,, Wildlife, Improve on Security/Safety,,,
ZIMBABWEAN,ZIMBABWE,25-44,1,,0,1,1,Other,COLLECT VEHICLE,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,3,0,TZS,110000,10000,0,40000,0,60000,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1,Excellent Experience,,,Excellent Experience, Improve on Roads,,,
ZIMBABWEAN,ZIMBABWE,25-44,0,With Other Friends/Relatives,0,2,2,Business,,Wildlife tourism,,Others (please specify),,,0,0,0,0,0,0,0,0,,0,,2,0,USD,400,100,0,0,0,100,0,0,0,,0,0,0,0,0,100,0,0,100,,0,Cash,,0,Friendly People,,,Friendly People, Improve on Roads,,,
ZIMBABWEAN,ZIMBABWE,25-44,0,Alone,0,1,1,Business,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,2,0,TZS,250000,66000,10000,0,0,25000,0,0,0,,0,0,0,0,0,0,0,100000,49000,,1,Cash,,0, Wildlife,,, Wildlife,Too many tips demanded/ Corruption,,,
ZIMBABWEAN,ZIMBABWE,25-44,1,Alone,0,1,1,Business,,Mountain climbing,,Others (please specify),INTERACTION,,0,0,0,0,0,0,0,0,,0,,1,0,USD,50,0,0,10,0,5,0,0,0,,0,0,0,0,0,0,0,35,0,,1,Cash,,0,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
BURUNDESE,BURUNDI,25-44,0,With Children,1,1,2,Visiting Friends and Relatives,,Hunting tourism,Visiting friend and Relatives,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,3,0,TZS,42000,0,0,18000,0,24000,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,0,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
UGANDAN,UGANDA,25-44,1,,1,0,1,Visiting Friends and Relatives,,Hunting tourism,VISITING RELATIVES,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,30,0,TZS,80000,40000,0,0,0,35000,0,0,0,,5000,0,0,0,0,0,0,0,0,,1,Cash,,0,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
CONGOLESE,DRC,25-44,1,,0,1,1,Business,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,14,0,TZS,918700,0,0,56700,0,82000,0,0,0,,0,0,0,0,0,0,0,0,780000,Shoes and Clothes,1,Cash,,0,Friendly People,"Wonderful Country, Landscape, Nature",, Wildlife, Improve on Roads,,,
BURUNDESE,BURUNDI,25-44,1,,1,0,1,Visiting Friends and Relatives,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,3,0,TZS,167000,60000,0,47000,0,50000,0,0,0,,0,0,0,0,0,0,0,0,10000,,1,Cash,,0, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
CONGOLESE,DRC,25-44,1,,0,1,1,Meetings and Conference,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,4,0,TZS,355000,45000,0,28000,0,12000,0,0,0,,0,0,0,0,0,0,0,0,270000,Beans,1,Cash,,0,Excellent Experience,,,Excellent Experience, Improve on Roads,Wider AcceptabSlow/poor customer services,,
BURUNDESE,BURUNDI,18-24,1,,1,0,1,Leisure and Holidays,,Hunting tourism,Wedding,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,2,0,TZS,92000,40000,0,14000,0,12000,0,0,0,,0,0,0,0,0,0,0,26500,0,,1,Cash,,0,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
RWANDESE,RWANDA,25-44,0,With Children,1,1,2,Visiting Friends and Relatives,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,4,0,TZS,80000,0,0,25000,0,0,45000,0,0,,0,0,0,0,0,0,0,0,40000,,1,Cash,,0,No comments,,,No comments, Improve on Roads, Improve on Roads,,
BURUNDESE,BURUNDI,25-44,1,Alone,0,1,1,Meetings and Conference,,Mountain climbing,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,2,0,TZS,535000,40000,0,30000,0,0,15000,0,0,,0,0,0,0,0,0,0,450000,0,,1,Cash,,0,Friendly People,,,Friendly People, Improve on Roads,,,
BURUNDESE,BURUNDI,25-44,1,Alone,0,1,1,Visiting Friends and Relatives,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,60,0,TZS,15000,0,0,0,0,15000,0,0,0,,0,0,0,0,0,0,0,0,10000,,1,Cash,,0,Good service,,,Good service, Improve on Roads,,,
BURUNDESE,BURUNDI,25-44,0,With Children,1,1,2,Visiting Friends and Relatives,,Cultural tourism,,Others (please specify),,,0,0,0,0,0,0,0,0,,0,,2,0,TZS,95000,0,30000,50000,0,150000,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1,Others (please specify),,,Others (please specify)," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
UGANDAN,UGANDA,25-44,0,With Other Friends/Relatives,3,2,5,Visiting Friends and Relatives,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,3,0,TZS,800000,240000,0,460000,0,0,0,0,0,,0,0,0,0,0,0,0,0,100000,,0,Cash,,0,Excellent Experience,,,Excellent Experience," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
UGANDAN,UGANDA,25-44,0,With Other Friends/Relatives,2,0,2,Visiting Friends and Relatives,,Hunting tourism,VFR,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,5,0,TZS,514368,298368,0,180000,0,36000,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Cash,,1,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
ZIMBABWEAN,ZIMBABWE,25-44,0,With Other Friends/Relatives,0,2,2,Business,,Mountain climbing,,"Newspaper, magazines,brochures",,,0,0,0,0,0,0,0,0,,0,,2,0,USD,190,50,0,20,120,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Cash,,1, Wildlife,,, Wildlife, Improve on Roads,,,
ZIMBABWEAN,ZIMBABWE,25-44,1,Alone,0,1,1,Business,,Hunting tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,2,0,USD,160,0,45,80,0,0,0,0,0,,0,0,0,0,0,0,0,35,0,,1,Cash,,0,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
RWANDESE,RWANDA,25-44,0,With Other Friends/Relatives,2,0,2,Visiting Friends and Relatives,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,3,0,TZS,49000,0,20000,15000,0,12000,0,0,0,,0,0,0,0,0,0,0,0,2000,Airtime,1,Cash,,1,Friendly People,"Wonderful Country, Landscape, Nature",, Wildlife," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
UGANDAN,UGANDA,25-44,0,,0,2,2,Business,,Wildlife tourism,,Trade fair,,,0,0,0,0,0,0,0,0,,0,,4,0,TZS,1500000,0,300000,50000,0,700000,0,0,0,,0,0,0,0,0,0,500000,0,0,,1,Cash,,0,Excellent Experience,,,Excellent Experience," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
ZIMBABWEAN,ZIMBABWE,25-44,0,With Spouse,1,1,2,Business,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,1,0,USD,100,20,0,40,0,10,0,0,0,,0,0,0,0,0,0,0,30,0,,1,Cash,,0,Friendly People,,,Friendly People,Flycatchers/ vendors are annoying,,,
UGANDAN,UGANDA,25-44,0,With Other Friends/Relatives,5,1,6,Visiting Friends and Relatives,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,89,0,TZS,403368,298368,0,60000,0,45000,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Cash,,1, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
UGANDAN,UGANDA,25-44,0,With Other Friends/Relatives,1,1,2,Visiting Friends and Relatives,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,3,0,USD,700,450,0,150,0,0,0,0,0,,0,0,0,0,0,100,0,0,0,,1,Cash,,1,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
UGANDAN,UGANDA,25-44,1,,0,1,1,Business,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,3,0,TZS,150000,0,45000,90000,0,15000,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Cash,,0,Others (please specify),,,Others (please specify)," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
ZIMBABWEAN,ZIMBABWE,25-44,0,With Other Friends/Relatives,0,2,2,Business,,Wildlife tourism,,"Travel, agent, tour operator",,,0,0,0,0,0,0,0,0,,0,,2,0,TZS,640000,140000,0,140000,0,320000,0,0,0,,0,0,0,0,0,0,0,0,40000,,1,Cash,,0, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying"," Improve Facilities (Toilets, Water,...) Improve on Security/Safety",,
UGANDAN,UGANDA,25-44,1,Alone,0,1,1,Visiting Friends and Relatives,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,3,0,TZS,300000,160000,0,140000,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)0",,,
CONGOLESE,DRC,25-44,1,,0,1,1,Visiting Friends and Relatives,,Cultural tourism,,"Radio, TV, Web (please specify)",,,0,0,0,0,0,0,0,0,,0,,8,0,TZS,118000,40000,0,64000,0,12000,0,0,0,,0,0,0,0,0,0,0,0,2000,Airtime,1,Cash,,0,Excellent Experience,,,Excellent Experience, Improve on Roads,,,
ZIMBABWEAN,ZIMBABWE,18-24,1,,0,1,1,Business,,Wildlife tourism,,"Travel, agent, tour operator",,,0,0,0,0,0,0,0,0,,0,,4,0,USD,200,200,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,0,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
ZIMBABWEAN,ZIMBABWE,25-44,0,With Other Friends/Relatives,1,1,2,Business,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,2,0,USD,378,60,0,45,0,70,3,0,0,,0,0,0,0,0,0,0,200,0,,1,Cash,,0,Friendly People,,,Friendly People, Improve on Roads," Improve Facilities (Toilets, Water,...)0"," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)",
UGANDAN,UGANDA,25-44,1,Alone,1,0,1,Visiting Friends and Relatives,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,3,0,TZS,300000,150000,0,75000,0,75000,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Cash,,1,Good serviceGood service,,,Good serviceGood service,Wider AcceptabSlow/poor customer services,,,
UGANDAN,UGANDA,25-44,1,,0,1,1,Visiting Friends and Relatives,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,16,0,TZS,600000,0,250000,150000,0,200000,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Cash,,0,Others (please specify),,,Others (please specify)," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
KENYAN,KENYA,25-44,0,With Other Friends/Relatives,0,3,3,Other,,Hunting tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,2,0,TZS,470000,270000,0,200000,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,0,Excellent Experience,,,Excellent Experience," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
RWANDESE,RWANDA,45-64,0,With Children,1,1,2,Volunteering,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,2,0,TZS,115000,0,40000,40000,0,35000,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1,No comments,,, Mountain Climbing," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
UGANDAN,UGANDA,25-44,1,,0,1,1,Visiting Friends and Relatives,,Hunting tourism,VISITING RELATIVES,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,2,0,TZS,41000,12000,0,9000,0,20000,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1,Good service,,,Good service," Improve Facilities (Toilets, Water,...)0",,,
UGANDAN,UGANDA,45-64,1,,0,1,1,Business,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,7,0,TZS,270000,150000,0,0,0,120000,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,0,Good service,,,Good service," Improve Facilities (Toilets, Water,...)0",,,
ZAMBIAN,ZAMBIA,25-44,1,Alone,0,1,1,Visiting Friends and Relatives,,Hunting tourism,,Others (please specify),,,0,0,0,0,0,0,0,0,,0,,5,0,TZS,1150000,400000,0,100000,0,300000,0,0,0,,0,0,0,0,0,0,0,0,350000,,0,Credit Card,,0,Others (please specify),,,Others (please specify)," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)",,,
ZAMBIAN,ZAMBIA,25-44,1,Alone,0,1,1,Visiting Friends and Relatives,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,4,0,USD,1230,180,0,100,0,200,0,0,50,,200,0,0,0,0,0,500,0,0,,1,Cash,,0,Friendly People,,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
UGANDAN,UGANDA,25-44,1,,0,1,1,Business,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,4,0,TZS,205000,80000,0,60000,0,45000,0,0,0,,0,0,0,0,0,0,0,0,20000,,0,Cash,,0,Excellent Experience,,,Excellent Experience," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
UGANDAN,UGANDA,45-64,1,,0,1,1,Visiting Friends and Relatives,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,5,0,TZS,118000,100000,0,0,0,15000,0,0,0,,0,0,0,0,0,0,0,0,3000,Airtime,1,Cash,,0,Friendly People,,,"Wonderful Country, Landscape, Nature", Improve on RoadsSlow airport procedures/ slow processing of VISA at Entry,,,
UGANDAN,UGANDA,25-44,1,,0,1,1,Meetings and Conference,,Mountain climbing,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,60,0,TZS,1150000,630000,0,420000,0,100000,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Cash,,1,Excellent Experience,,,Excellent Experience," Improve Facilities (Toilets, Water,...)0",,,
UGANDAN,UGANDA,25-44,0,With Other Friends/Relatives,2,2,4,Visiting Friends and Relatives,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,4,0,TZS,300000,40000,0,20000,0,20000,0,0,0,,0,0,0,0,0,0,0,60000,0,,0,Cash,,0,Others (please specify),,,Others (please specify)," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
CONGOLESE,CONGO,45-64,1,,0,1,1,Business,,Mountain climbing,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,3,0,TZS,790500,75000,0,47500,0,18000,0,0,0,,0,0,0,0,0,0,0,0,650000,Maize,1,Cash,,0,Excellent Experience,,,Excellent Experience, Improve on Roads,,,
RWANDESE,RWANDA,18-24,1,Alone,1,0,1,Leisure and Holidays,,Beach tourism,,"Radio, TV, Web (please specify)",,WEB,0,0,0,0,0,0,0,0,,0,,2,0,TZS,126000,30000,0,40000,0,13000,0,0,0,,0,0,0,0,0,0,0,43000,0,,1,Cash,,1, Wildlife,,, Wildlife, Improve on Roads,,,
RWANDESE,RWANDA,45-64,0,With Other Friends/Relatives,0,2,2,Visiting Friends and Relatives,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,3,0,TZS,130000,0,40000,0,0,40000,0,0,0,,0,0,0,0,0,0,0,50000,0,,1,Cash,,1,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
BURUNDESE,BURUNDI,25-44,1,,0,1,1,Business,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,7,0,TZS,360000,45000,0,40000,0,25000,0,0,0,,0,0,0,0,0,0,0,250000,0,,1,Cash,,0,Excellent Experience,,,Excellent Experience,Slow airport procedures/ slow processing of VISA at Entry,,,
BURUNDESE,BURUNDI,25-44,0,With Other Friends/Relatives,2,0,2,Meetings and Conference,,Hunting tourism,SECURITY ISSUES,Tanzania Mission Abroad,,,0,0,0,0,0,0,0,0,,0,,2,0,TZS,102000,40000,0,30000,0,12000,0,0,0,,0,0,0,0,0,0,0,20000,0,,1,Cash,,0,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
RWANDESE,RWANDA,25-44,0,With Children,1,1,2,Visiting Friends and Relatives,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,4,0,TZS,80000,0,0,25000,0,0,45000,0,0,,0,0,0,0,0,0,0,0,40000,,1,Cash,,0,No comments,,,No comments, Improve on Roads, Improve on Roads,,
RWANDESE,RWANDA,25-44,0,With Spouse,1,1,2,Visiting Friends and Relatives,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,2,0,TZS,84000,0,0,20000,0,34000,0,0,0,,0,0,0,0,0,0,0,30000,0,,1,Cash,,0,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)",,,
CONGOLESE,DRC,45-64,1,,1,0,1,Visiting Friends and Relatives,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,1,0,TZS,52000,20000,16000,0,16000,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)0",,,
CONGOLESE,DRC,25-44,1,Alone,1,0,1,Visiting Friends and Relatives,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,3,0,TZS,90000,30000,15000,0,0,15000,0,0,0,,0,0,0,0,0,0,0,30000,0,,1,Cash,,0,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
CONGOLESE,DRC,25-44,1,Alone,1,0,1,Visiting Friends and Relatives,,Cultural tourism,,"Travel, agent, tour operator",,,0,0,0,0,0,0,0,0,,0,,1,0,TZS,50000,0,15000,20000,0,15000,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,0,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
RWANDESE,RWANDA,45-64,1,,1,0,1,Visiting Friends and Relatives,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,1,0,TZS,50000,0,20000,10000,0,20000,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1,Excellent Experience,,,Excellent Experience, Improve on Roads,,,
CONGOLESE,DRC,18-24,1,Alone,0,1,1,Visiting Friends and Relatives,,Hunting tourism,VISITING RELATIVES AND FRIENDS,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,2,0,TZS,86000,30000,0,30000,0,20000,0,0,0,,0,0,0,0,0,0,0,6000,0,,1,Cash,,0,Friendly People,,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)0",,,
CONGOLESE,DRC,45-64,1,,0,1,1,Visiting Friends and Relatives,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,1,0,TZS,45000,0,20000,15000,0,10000,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,0,Excellent Experience,,,Excellent Experience, Improve on Roads,,,
BURUNDESE,BURUNDI,25-44,1,,1,0,1,Visiting Friends and Relatives,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,2,0,TZS,65000,0,15000,30000,0,20000,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1,Excellent Experience,,,Excellent Experience, Improve on Roads," Improve Facilities (Toilets, Water,...)",,
BURUNDESE,BURUNDI,45-64,1,,0,1,1,Visiting Friends and Relatives,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,4,0,TZS,123000,0,60000,40000,18000,0,0,0,0,,0,0,0,0,0,0,0,5000,0,,1,Cash,,0,Friendly People,,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
CONGOLESE,DRC,18-24,1,Alone,0,1,1,Business,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,1,0,TZS,526000,20000,0,15000,0,46000,0,0,0,,0,0,0,0,0,0,0,0,445000,,1,Cash,,0,Others (please specify),,,Others (please specify)," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
UGANDAN,UGANDA,25-44,1,,1,0,1,Visiting Friends and Relatives,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,3,0,TZS,90000,25000,0,20000,0,45000,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Cash,,0,Others (please specify),,,Others (please specify)," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
ZAMBIAN,ZAMBIA,25-44,1,Alone,1,0,1,Business,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,3,0,TZS,539500,3000,0,5000,0,0,80000,0,0,,0,0,0,0,0,0,0,414500,0,,1,Cash,,0,Friendly People,,,Friendly People, Improve on Roads,,,
UGANDAN,UGANDA,25-44,1,Alone,0,1,1,Leisure and Holidays,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,4,0,TZS,200000,0,40000,0,0,900000,0,0,0,,0,0,0,0,0,0,0,0,70000,BEACHING,0,Cash,,0, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)",,,
UGANDAN,UGANDA,25-44,1,,0,1,1,Visiting Friends and Relatives,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,6,0,TZS,100000,0,0,50000,0,0,0,0,0,,0,0,0,0,0,0,0,0,50000,,1,Cash,,0,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
KENYAN,KENYA,25-44,1,Alone,1,0,1,Visiting Friends and Relatives,,Hunting tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,2,0,TZS,180000,80000,0,0,0,10000,0,0,0,,0,0,0,0,0,0,0,0,50000,,1,Cash,,0,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)",,,
GREEK,GREECE,25-44,0,With Other Friends/Relatives,0,2,2,Volunteering,,Hunting tourism,VOLUNTEERING,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,2,0,EUR,1800,300,0,100,1200,160,40,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)0",,,
ZIMBABWEAN,ZIMBABWE,25-44,0,With Other Friends/Relatives,0,2,2,Business,,Wildlife tourism,,"Radio, TV, Web (please specify)",,WEB,0,0,0,0,0,0,0,0,,0,,3,0,USD,435,90,0,50,0,115,0,0,0,,0,0,0,0,0,0,0,0,180,,1,Cash,,1, Wildlife,,, Wildlife,Too many tips demanded/ Corruption,Wider AcceptabSlow/poor customer services,,
AMERICAN,KENYA,45-64,1,Alone,1,0,1,Leisure and Holidays,,Hunting tourism,,Others (please specify),,INTERNET,0,0,0,0,0,0,0,0,,0,,7,1,USD,1250,200,0,250,0,100,100,0,0,,50,0,0,0,0,0,100,150,0,,0,Cash,,1,Good serviceGood service,,,Good serviceGood service," Improve Facilities (Toilets, Water,...)",,,
