nationality,country_description,age_group,if_travel_alone,travelling_with,no_female,no_male,total_travellers,purpose_code,purpose_other,activity_main,activity_others,info_source,info_source_others,info_radio_tv_web,tour_package,pac_transport_int,pac_accomodation,pac_food,pac_transport_tz,pac_sightseeing,pac_guided_tour,pac_insurance,currency1,package_cost,if_group_package,nights_mainland,nights_zanzibar,currency2,spent_amount_tz,acc_hotel,acc_others,food_drink,trans_air,trans_road,trans_water,trans_railway,trans_rental,cost_transport_tz,exp_cult_service,exp_sport,exp_sightseeing,mountain_climbing,hunting,gate_fees,visa_taxes,exp_shopping,exp_other,exp_other_detail,if_group_breakdown,payment_mode,payment_mode_others,if_first_trip_tz,most_impressing_tz1,most_impressing_tz2,most_impressing_tz3,most_impressing_tz4,improvement_areas1,improvement_areas2,improvement_areas3,improvement_areas4
JAPANESE,JAPAN,25-44,0,With Spouse,1,1,2,Leisure and Holidays,,Beach tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,1,1,0,JYP,1000000,1,5,2,USD,1000,0,0,500,0,0,0,0,0,,0,0,0,0,0,0,0,500,0,,1,Cash,,1,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature", Improve on RoadsOthers (please specify), Improve on RoadsWider AcceptabSlow/poor customer services,,
AMERICAN,UNITED STATES OF AMERICA,45-64,1,Alone,1,0,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,0,1,1,1,1,1,0,USD,3000,,19,0,USD,200,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,200,0,,0,Cash,,1,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
JAPANESE,JAPAN,65+,1,Alone,0,1,1,Business,,Mountain climbing,,"Newspaper, magazines,brochures",,,0,0,0,0,0,0,0,0,,0,,0,6,USD,700,600,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Credit Card,,0, Wildlife,,, Wildlife, Improve on Roads, Improve on Security/Safety,,
CANADIAN,CANADA,18-24,1,,0,1,1,Visiting Friends and Relatives,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,49,0,USD,200,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,200,0,,1,Cash,,0,Good serviceGood service,,,Good serviceGood service," Improve Facilities (Toilets, Water,...)",,,
BRITISH,UNITED KINGDOM,45-64,0,With Spouse,1,1,2,Business,,Wildlife tourism,,"Radio, TV, Web (please specify)",,WEB,0,0,0,0,0,0,0,0,,0,,6,0,EUR,600,0,0,500,100,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature", Improve on Roads,,,
KENYAN,KENYA,25-44,1,Alone,0,1,1,Business,,Mountain climbing,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,1,0,USD,100,100,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Credit Card,,0,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)"," Improve Facilities (Toilets, Water,...) Improve on Security/Safety",,
DUTCH,NETHERLANDS,25-44,0,With Spouse,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,1,1,0,EUR,9000,1,9,5,EUR,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,Cash,,1,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
SWISS,SWIZERLAND,25-44,0,With Spouse,1,1,2,Leisure and Holidays,,Beach tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,0,0,0,USD,10000,1,17,0,TZS,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Cash,,1,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
SOUTH AFRICAN,SOUTH AFRICA,45-64,0,With Other Friends/Relatives,0,2,2,Meetings and Conference,,Mountain climbing,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,6,0,USD,2800,1800,0,800,0,200,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Credit Card,,1,Others (please specify),,,Others (please specify), Improve on Roads,,,
KENYAN,UGANDA,25-44,1,,0,1,1,Meetings and Conference,,Cultural tourism,,"Travel, agent, tour operator",,,0,0,0,0,0,0,0,0,,0,,4,0,USD,1040,840,200,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Cash,,1,Friendly People,"Wonderful Country, Landscape, Nature",, Wildlife," Improve Facilities (Toilets, Water,...) Improve on Roads"," Improve Facilities (Toilets, Water,...)Wider AcceptabSlow/poor customer services",,
SOUTH AFRICAN,SOUTH AFRICA,25-44,1,,0,1,1,Meetings and Conference,,Mountain climbing,,"Newspaper, magazines,brochures",,,0,0,0,0,0,0,0,0,,0,,2,0,USD,2000,2000,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Cash,,1,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...) Improve on Security/Safety",,,
BRITISH,UNITED KINGDOM,45-64,0,With Children,1,1,2,Visiting Friends and Relatives,,Cultural tourism,,Others (please specify),,INTERNET,0,0,0,0,0,0,0,0,,0,,3,0,USD,500,500,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Cash,,1,Friendly People,"Wonderful Country, Landscape, Nature",, Wildlife," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
EMIRATI,UAE,45-64,1,Alone,1,0,1,Visiting Friends and Relatives,,Hunting tourism,VISITING FAMILY,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,20,0,USD,2000,0,0,2000,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Cash,,0,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
CZECH,CZECH REPUBLIC,25-44,0,With Other Friends/Relatives,2,2,4,Leisure and Holidays,,Cultural tourism,,"Newspaper, magazines,brochures",,,0,0,0,0,0,0,0,0,,0,,8,4,USD,1675,0,200,380,200,0,0,0,0,,5,50,760,0,0,0,50,60,0,,0,Cash,,1, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
SWISS,SWIZERLAND,18-24,0,With Other Friends/Relatives,0,2,2,Leisure and Holidays,,Hunting tourism,KITESURF,Others (please specify),INTERNET,,0,0,0,0,0,0,0,0,,0,,0,12,USD,1000,0,500,300,0,0,100,0,0,,0,0,0,0,0,0,100,0,0,,1,Cash,,1,"Wonderful Country, Landscape, Nature",Others (please specify),,"Wonderful Country, Landscape, Nature",Too many tips demanded/ Corruption,,,
CHINESE,CHINA,25-44,0,With Other Friends/Relatives,2,0,2,Leisure and Holidays,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,4,3,USD,1600,800,0,400,300,0,0,0,0,,0,0,0,0,0,0,100,0,0,,1,Cash,,1,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
